rank,model,exp,config,hierarchical_f1_mean,hierarchical_f1_std,accuracy_mean,accuracy_std,top_accuracy_mean,macro_accuracy_mean
178,clap_630k_chunk_meanmax,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,80.12,0.32,81.51,0.09,89.74,75.83
179,passt_kd_ap486_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,80.12,0.9,81.5,0.93,90.13,76.04
180,clap_630k_chunk_meanmax,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,80.11,0.89,81.48,0.61,89.74,76.25
181,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,80.1,0.45,81.54,0.27,89.78,76.14
182,baseline,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,80.09,0.64,81.57,0.47,89.89,76.09
183,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,80.08,0.3,81.35,0.38,89.78,76.16
184,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,80.08,0.33,81.37,0.3,90.19,75.99
185,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,80.06,0.79,81.44,0.46,89.96,75.84
186,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,80.05,0.34,81.63,0.22,90.13,75.69
187,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,80.05,0.67,81.27,0.51,89.81,76.19
188,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,80.04,0.35,81.51,0.39,89.91,76.06
189,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,80.03,0.51,81.68,0.52,89.83,76.12
190,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,80.03,0.72,81.3,0.48,90.0,76.05
